FILENAME,TEXT_SIZE,ALL_NOUNS_IN_ALL_WORDS,PRONOUNS_IN_ALL_WORDS,PROPER_NOUNS_IN_ALL_WORDS,REGULAR_NOUNS_IN_ALL_NOUNS,PROPER_NOUNS_IN_ALL_NOUNS,GNE_IN_ALL_WORDS,GNE_IN_ALL_NOUNS
austen_emma,165789,0.1298276725235088,0.09910790221305395,0.053477613110640636,0.7082592958209938,0.29174070417900627,0.021791767554479417,0.1125
austen_pride_and_prejudice,125537,0.14046854712156576,0.09468124935278045,0.0489815751531421,0.7414539797334231,0.25854602026657697,0.021791767554479417,0.1125
barrie_peter_pan,50709,0.13674101244355044,0.10420240982863002,0.04318759983434893,0.7599736957474792,0.24002630425252083,0.021791767554479417,0.1125
baum_the_wonderful_wizard_of_oz,42001,0.12297326254136806,0.09254541558534321,0.05680817123401824,0.6840153622036816,0.31598463779631836,0.021791767554479417,0.1125
burnett_a_little_princess,71985,0.1344446759741613,0.10677224421754532,0.04018892824894075,0.7698671545620873,0.23013284543791265,0.021791767554479417,0.1125
burnett_secret_garden,89647,0.1290506096132609,0.11290952290651109,0.039510524613205124,0.7656012176560122,0.2343987823439878,0.021791767554479417,0.1125
burroughs_a_princess_of_mars,68244,0.18155442236680147,0.08255670828204677,0.031138268565734716,0.8535997244230107,0.1464002755769893,0.021791767554479417,0.1125
burroughs_tarzan_of_the_apes,88283,0.1807256210142383,0.07195043213302674,0.03722120906629815,0.8292188555688373,0.17078114443116263,0.021791767554479417,0.1125
carroll_alices_adventure_in_wonderland,29332,0.11894858857220783,0.09685667530342289,0.04605891176871676,0.7208677685950413,0.2791322314049587,0.021791767554479417,0.1125
carroll_jabberwocky,185,0.2,0.05405405405405406,0.04864864864864865,0.8043478260869565,0.1956521739130435,0.021791767554479417,0.1125
chap_1_doyle,826,0.1513317191283293,0.1016949152542373,0.0423728813559322,0.78125,0.21875,0.021791767554479417,0.1125
christie_the_mysterious_affair_at_styles,61706,0.1352056526107672,0.10734774576216251,0.05257187307555181,0.7200310693018037,0.27996893069819623,0.021791767554479417,0.1125
conrad_heart_of_darkness,39777,0.18254267541544109,0.09319455967016115,0.011011388490836414,0.9431094947395766,0.056890505260423434,0.021791767554479417,0.1125
defoe_the_life_and_adventures_of_robinson_crusoe,122550,0.15486740106079153,0.1060546715626275,0.010795593635250919,0.9348340065018225,0.06516599349817752,0.021791767554479417,0.1125
dickens_a_christmas_carol_in_prose,30843,0.15766948740394904,0.07940213338520896,0.04023603410822553,0.7966906946264745,0.20330930537352557,0.021791767554479417,0.1125
dickens_a_tale_of_two_cities,142952,0.16496446359617215,0.07974704796015446,0.04097179472830041,0.8010462311899181,0.19895376881008187,0.021791767554479417,0.1125
dickens_great_expectations,195488,0.14164552299885416,0.10730070387952202,0.037444753642167296,0.790916880891174,0.20908311910882604,0.021791767554479417,0.1125
douglass_narrative_of_the_life_of_frederick_douglass,36841,0.17583670367253876,0.08810835753644038,0.03637251974702098,0.8286006651317472,0.17139933486825276,0.021791767554479417,0.1125
doyle_sherlock_holmes,111679,0.15159519694839674,0.09572972537361545,0.03344406737166343,0.8192596177111058,0.18074038228889427,0.021791767554479417,0.1125
doyle_the_hound_of_the_baskervilles,61903,0.15613136681582476,0.09834741450333587,0.03718721225142562,0.8076376702598813,0.19236232974011866,0.021791767554479417,0.1125
doyle_the_sign_of_the_four,45505,0.1572794198439732,0.09954950005493901,0.034194044610482366,0.821416274532308,0.17858372546769197,0.021791767554479417,0.1125
given,48,0.22916666666666666,0.020833333333333332,0.08333333333333333,0.7333333333333333,0.26666666666666666,0.021791767554479417,0.1125
hawthorne_the_scarlet_letter,86170,0.18952071486596264,0.056249274689567134,0.029557850760125334,0.8650810467210509,0.13491895327894904,0.021791767554479417,0.1125
kafka_metamorphosis,22674,0.15233306871306343,0.08626620799153215,0.018876245920437504,0.889747552807831,0.11025244719216898,0.021791767554479417,0.1125
kafka_the_trial,89782,0.13942661112472432,0.09887282528791963,0.021296028157091623,0.8674982674982675,0.1325017325017325,0.021791767554479417,0.1125
kipling_the_jungle_book,54957,0.1596520916352785,0.07405789981258075,0.05780883235984497,0.7341645050623379,0.2658354949376621,0.021791767554479417,0.1125
london_the_call_of_the_wild,32243,0.188537046800856,0.06776664702416028,0.039884626120398226,0.8253903598099117,0.17460964019008826,0.021791767554479417,0.1125
london_white_fang,73862,0.1819609542119087,0.07849773902683382,0.03831469497170399,0.826060233558697,0.17393976644130302,0.021791767554479417,0.1125
marquez_love_in_the_time_of_cholera,151518,0.19139640174764713,0.07803693290566137,0.04173101545690941,0.820994819239589,0.17900518076041105,0.021791767554479417,0.1125
orwell_1984,106582,0.18002101668199133,0.0756882025107429,0.030202097915220206,0.8563331250557886,0.14366687494421138,0.021791767554479417,0.1125
poe_raven,1188,0.19107744107744107,0.05555555555555555,0.049663299663299666,0.7937062937062938,0.2062937062937063,0.021791767554479417,0.1125
pyle_the_merry_adventures_of_robin_hood,116284,0.1686560489835231,0.07550479859653951,0.06299232912524509,0.7280691985002041,0.2719308014997958,0.021791767554479417,0.1125
sample,114,0.17543859649122806,0.08771929824561403,0.06140350877192982,0.7407407407407407,0.25925925925925924,0.021791767554479417,0.1125
shelley_frankenstein,76538,0.18507146776764483,0.09008597036766051,0.0156784865034362,0.9219004230393752,0.07809957696062479,0.021791767554479417,0.1125
simple_paragraph,85,0.15294117647058825,0.09411764705882353,0.023529411764705882,0.8666666666666667,0.13333333333333333,0.021791767554479417,0.1125
sinclair_the_jungle,154687,0.17729350236283592,0.07910813449093977,0.02664089419278931,0.8693653712039561,0.13063462879604387,0.021791767554479417,0.1125
stevenson_the_strange_case_of_drjekyll_and_mrhyde,26761,0.17234034602593326,0.07858450730540713,0.03135159373715481,0.8460832874701889,0.15391671252981104,0.021791767554479417,0.1125
stevenson_treasure_island,72553,0.16462448141358732,0.09320083249486583,0.028613565255744076,0.851925820256776,0.14807417974322395,0.021791767554479417,0.1125
stoker_dracula,166935,0.14503848803426483,0.10794021625183454,0.034013238685716,0.8100368016058882,0.18996319839411174,0.021791767554479417,0.1125
test_gender_names,143,0.16783216783216784,0.013986013986013986,0.2727272727272727,0.38095238095238093,0.6190476190476191,0.021791767554479417,0.1125
twain_a_connecticut_yankee_in_king_arthurs_court,122081,0.17598971174875697,0.08968635578017874,0.02042905939499185,0.8959923266191251,0.10400767338087494,0.021791767554479417,0.1125
twain_adventures_of_tom_sawyer,75582,0.15684951443465375,0.09131803868645974,0.03678124421158477,0.8100444140758456,0.18995558592415443,0.021791767554479417,0.1125
